Feature,Importance,Category
incident_Diversion,0.1879927033133267,Incident Type
line_512,0.13541424179602982,Line
incident_Mechanical,0.07069935965157927,Incident Type
line_506,0.04741495297087188,Line
seasonType_Summer 2024,0.03981483278462986,Season
line_505,0.034270566812355845,Line
seasonType_Spring 2023,0.030824276584805667,Season
incident_Collision - TTC Involved,0.02862300144230994,Incident Type
line_510,0.027599483438239526,Line
incident_Emergency Services,0.02635905792449248,Incident Type
incident_Operations,0.02599853332124681,Incident Type
day_of_week_Sunday,0.025616925152561962,Day of Week
incident_General Delay,0.02332058264827531,Incident Type
incident_Held By,0.02149043589775831,Incident Type
incident_Utilized Off Route,0.016480309318664014,Incident Type
line_501,0.016271873627873235,Line
seasonType_Winter 2023,0.01512841182182226,Season
seasonType_Winter 2024,0.014377592950723316,Season
bound_W,0.014124296065256677,Bound
day_of_week_Saturday,0.013702722937180476,Day of Week
line_503,0.013385319488045127,Line
seasonType_Spring 2024,0.013226633561804965,Season
line_504,0.012482555336811614,Line
bound_N,0.011964616580730086,Bound
seasonType_Summer 2023,0.011103169457117817,Season
day_of_week_Wednesday,0.00988821399363555,Day of Week
bound_S,0.009631960086877429,Bound
day_of_week_Tuesday,0.009334934418750588,Day of Week
day_of_week_Thursday,0.009073975449250971,Day of Week
location_LESLIE BARNS,0.008874321131722884,Location
location_WOLSELEY LOOP,0.008671717409909819,Location
day_of_week_Monday,0.008589948372137916,Day of Week
line_511,0.006853493546335182,Line
location_ST CLAIR STATION,0.0068363082620653964,Location
incident_Security,0.006835797559832304,Incident Type
location_SPADINA STATION,0.006317835081948499,Location
line_508,0.005062236382471929,Line
line_507,0.004084702574414763,Line
line_306,0.0038537932661340656,Line
location_SPADINA AND BLOOR,0.00302248585351459,Location
line_304,0.0029228368436187034,Line
location_UNION STATION,0.0025965385288075375,Location
location_VICTORIA PARK STATION,0.0019864214005646985,Location
location_QUEEN AND NEVILLE PARK,0.001733140494495216,Location
location_ST. CLAIR STATION,0.0016365367400470105,Location
location_ST CLAIR AND YONGE,0.001459664520309466,Location
vehicle_8304,0.0009511560902118072,Other
location_BROADVIEW AND MOUNTSTE,0.0009302952400466254,Location
location_GUNNS LOOP,0.0007727014354081357,Location
line_310,0.0003925304329760367,Line
