Feature,Importance
line_512,0.13590410622963614
incident_Diversion,0.08324424765087901
incident_Mechanical,0.052561363382763696
line_506,0.03309492875891789
incident_Collision - TTC Involved,0.019920137300416082
line_505,0.01832731396244013
day_of_week_Sunday,0.01813874623861211
incident_Operations,0.017150280090433182
incident_Utilized Off Route,0.015601708400117091
incident_General Delay,0.015082621867279471
incident_Emergency Services,0.014954301062389336
seasonType_Spring 2023,0.014897863269197762
line_510,0.014311963586906548
line_503,0.0133012621317306
incident_Held By,0.010931030599220397
location_WOLSELEY LOOP,0.010761558583691117
seasonType_Summer 2024,0.010658093777612603
location_ST CLAIR STATION,0.009844117206255304
bound_N,0.008485858229799977
seasonType_Winter 2024,0.007305679328190614
line_501,0.007125024551121539
line_511,0.007000739283422723
day_of_week_Saturday,0.006513076070550384
location_LESLIE BARNS,0.006406522763384758
seasonType_Winter 2023,0.006009901463815182
line_306,0.005650576077938725
location_QUEEN AND NEVILLE PARK,0.00532002238254591
line_504,0.00526693467369482
day_of_week_Tuesday,0.005221297812520503
bound_W,0.005163405376895455
location_SPADINA STATION,0.005029537008999668
location_ST. CLAIR STATION,0.0048528808219957306
seasonType_Spring 2024,0.004494454060306685
seasonType_Summer 2023,0.004425117384643041
location_GUNNS LOOP,0.0043963597058925335
day_of_week_Wednesday,0.004344634036401776
bound_S,0.004324407769346456
line_304,0.004109478360352418
line_508,0.004103883650550399
location_UNION STATION,0.003848318331090243
day_of_week_Thursday,0.0035334092973605246
day_of_week_Monday,0.003489879015027825
location_BROADVIEW AND MOUNTSTE,0.00336070428948282
incident_Security,0.0033238506286652125
location_ST CLAIR AND YONGE,0.003249272163282388
line_507,0.003190415939053903
location_SPADINA AND BLOOR,0.0031807955685237586
vehicle_8304,0.0030512520444134963
line_310,0.0030373076678432034
location_VICTORIA PARK STATION,0.0027755472514520802
