Feature,Importance,Category
incident_Diversion,0.18772414118602698,Incident Type
line_512,0.13305158384432572,Line
incident_Mechanical,0.06590355233610547,Incident Type
timeType_off_peak,0.048121559197198856,Time Type
line_506,0.041884542356100306,Line
seasonType_Summer 2024,0.03346596589836586,Season
line_505,0.029118818348987476,Line
incident_Collision - TTC Involved,0.026023898905437368,Incident Type
line_510,0.025751438135184077,Line
incident_Operations,0.025631364955156673,Incident Type
seasonType_Spring 2023,0.025340972966234995,Season
incident_Emergency Services,0.023972702873378,Incident Type
day_of_week_Sunday,0.02363029201398524,Day of Week
incident_General Delay,0.022514631060854894,Incident Type
line_501,0.01858208697520732,Line
incident_Held By,0.017157792148036817,Incident Type
incident_Utilized Off Route,0.015831957205047053,Incident Type
timeType_midday,0.015404419571155133,Time Type
seasonType_Winter 2023,0.01391017756125865,Season
seasonType_Winter 2024,0.013417613366533663,Season
line_503,0.013347758273062638,Line
bound_W,0.012916616474537223,Bound
bound_N,0.01285657781983611,Bound
seasonType_Spring 2024,0.012312879413188408,Season
day_of_week_Saturday,0.01186868170513282,Day of Week
seasonType_Summer 2023,0.010422152794385275,Season
line_504,0.009985594940488144,Line
timeType_morning_peak,0.00968719713856167,Time Type
day_of_week_Tuesday,0.008858411462570607,Day of Week
day_of_week_Wednesday,0.008710472066121092,Day of Week
bound_S,0.008600278588051105,Bound
location_WOLSELEY LOOP,0.007884785897156106,Location
day_of_week_Monday,0.007803419376196943,Day of Week
day_of_week_Thursday,0.007653634824715257,Day of Week
location_LESLIE BARNS,0.007495771363362361,Location
line_511,0.0063402268849950955,Line
location_ST CLAIR STATION,0.006280232509867181,Location
location_SPADINA STATION,0.005487810771381402,Location
incident_Security,0.0051914788816879885,Incident Type
line_306,0.003368635958428564,Line
line_508,0.0032878554022413493,Line
line_507,0.003132776039441564,Line
line_304,0.0022644284739745473,Line
location_SPADINA AND BLOOR,0.0017906294594761277,Location
location_VICTORIA PARK STATION,0.0015627605748016538,Location
location_BROADVIEW AND MOUNTSTE,0.0011593185495654015,Location
location_ST CLAIR AND YONGE,0.0010249039867232994,Location
location_ST. CLAIR STATION,0.0008495127530713187,Location
location_ST CLAIR AND DEER PARK,0.0007260386422327015,Location
location_GUNNS LOOP,0.0006896480701656769,Location
