Feature,Importance
incident_Diversion,0.09326422272044756
line_512,0.07612359510722286
incident_Mechanical,0.05170133268180746
timeType_off_peak,0.0300167260040658
incident_Collision - TTC Involved,0.02649230848263391
line_506,0.02585089049568185
line_505,0.020830003781297308
incident_Operations,0.020795246290888813
incident_Emergency Services,0.01981185651417066
day_of_week_Sunday,0.016965825967451182
timeType_midday,0.0150720209074838
line_510,0.014700291716769847
incident_General Delay,0.013166630635075026
seasonType_Spring 2023,0.01218868952759087
incident_Held By,0.011456709122128603
seasonType_Summer 2024,0.011103587356985675
location_WOLSELEY LOOP,0.010543590519177385
line_503,0.010287140761456183
location_ST CLAIR STATION,0.00927687149331969
timeType_morning_peak,0.008911671403080274
line_501,0.008740886734629883
incident_Utilized Off Route,0.008549512401321947
bound_W,0.007828662788964097
seasonType_Winter 2024,0.007384327561432772
seasonType_Winter 2023,0.007102133214848768
bound_N,0.006767001581428618
day_of_week_Saturday,0.0062651415971647206
day_of_week_Wednesday,0.0062605475651682525
line_508,0.0061007086947705656
line_511,0.005981361336925185
seasonType_Spring 2024,0.005813551458860642
location_SPADINA AND BLOOR,0.005740111688317519
bound_S,0.005606499052857715
seasonType_Summer 2023,0.005458201011770617
day_of_week_Tuesday,0.005403078381722063
day_of_week_Thursday,0.005292867841520528
day_of_week_Monday,0.005002344634365725
incident_Security,0.004837139853814732
location_LESLIE BARNS,0.004626922287284082
location_ST CLAIR AND YONGE,0.0045740397738236885
line_504,0.004489927424956445
line_306,0.004237188029110041
line_304,0.0036696412438795806
location_BROADVIEW AND MOUNTSTE,0.0033942687454127404
location_ST. CLAIR STATION,0.003339880541319353
location_SPADINA STATION,0.003178675361068922
location_GUNNS LOOP,0.0026661722318142376
location_VICTORIA PARK STATION,0.0025870470754585785
line_507,0.0024243459168805455
location_ST CLAIR AND DEER PARK,0.0023557961720172584
