,delayType
15585,3
14434,2
691,2
837,3
1030,2
8083,3
3934,2
14924,2
1697,2
11363,1
12038,2
8056,2
12251,3
16922,2
13428,2
13166,2
16516,2
13120,2
16793,2
9155,2
16154,2
16315,3
14366,2
3870,3
8771,2
12783,2
15462,2
9716,2
4131,2
7015,2
10809,2
16467,1
18985,2
10599,2
2275,3
3629,2
8817,2
2319,2
15157,2
17758,2
9461,2
14313,1
5853,1
18531,2
16915,2
6092,2
14540,1
12238,1
16223,2
4049,3
15536,2
17057,3
15439,3
12283,2
163,2
3713,2
13888,2
2950,2
14020,3
5642,2
12390,2
444,2
1328,2
11773,3
18063,2
736,2
13745,2
15203,2
13011,1
3417,3
13652,2
18179,3
5059,2
12896,3
10767,2
1907,3
10600,2
7617,1
2496,2
11372,2
344,3
14722,3
3978,3
8057,2
4754,3
8258,2
16903,3
132,3
12408,2
12203,2
4689,1
531,2
14323,2
10132,2
11243,2
2470,3
3130,2
9763,3
17153,2
8222,2
1580,2
17745,2
1266,2
2413,2
7781,1
16863,3
7388,2
9615,3
15383,2
10582,2
14188,2
16674,2
14873,2
16196,1
17831,2
5966,2
3862,2
12665,2
11532,2
8829,2
6553,2
3909,3
15701,2
10693,2
5795,3
7373,1
8880,2
11043,2
4977,2
13721,2
10496,2
8983,3
14669,2
60,1
6207,1
12010,1
12050,2
7447,2
14783,2
6034,2
18769,1
12779,1
10797,2
12809,1
10472,2
2795,2
8472,2
5234,2
9312,2
448,3
5499,2
9661,2
12703,2
610,2
10172,2
17606,3
536,3
12145,3
17369,2
4377,2
5926,1
14647,3
206,2
4262,2
9141,1
8285,2
6152,2
2202,3
6805,2
6102,3
10170,2
4096,3
9538,2
11730,2
7948,2
338,2
8885,3
18597,2
5019,2
1498,2
6060,2
12788,2
602,3
699,1
9080,2
2444,2
103,2
2722,1
242,2
16166,2
2085,2
4805,2
4308,2
2036,3
12570,2
4817,2
17043,2
17181,2
2415,2
9067,2
293,3
7045,2
16652,2
6945,3
10003,2
8436,2
4787,2
15572,3
8041,1
6244,2
4080,2
18440,1
13600,3
2658,3
14215,2
6084,2
2832,2
79,2
4149,2
1216,2
6226,2
18781,2
3630,2
1794,2
18917,2
1100,2
10938,2
14077,2
2762,2
18752,3
12873,2
10971,1
10343,2
8616,3
17007,2
17073,3
4414,3
10007,2
3905,1
4207,2
8624,2
7778,1
10326,2
6085,2
4089,2
5126,2
2946,2
8364,2
11436,1
11160,2
12432,1
4315,2
9415,2
8432,2
17838,2
15211,2
42,2
514,3
17902,3
8155,2
8210,2
2624,2
1804,2
18166,3
8729,1
14110,2
15097,1
10667,2
703,1
15957,2
9132,1
12664,2
12153,2
17275,2
18128,2
5864,2
7994,2
6036,2
1785,2
3061,2
1976,3
9023,2
13502,3
18825,2
14131,2
15067,2
11769,2
16995,2
4432,2
9545,2
637,3
4454,2
15894,3
15911,3
2014,2
10569,2
10134,1
2975,2
10220,1
2363,2
4986,2
9592,2
12307,1
7263,1
17670,2
12931,3
11621,1
17009,2
16459,2
4103,2
4275,3
1700,2
6682,2
5604,3
1938,3
1843,2
15741,1
10850,2
4882,3
11126,2
8796,2
9776,2
13735,2
18388,2
1249,2
12654,3
16512,2
12528,2
6784,3
975,1
12660,1
17876,1
13585,2
5599,2
17532,2
4323,2
6252,3
14758,2
6869,1
18851,1
10050,2
5082,2
7864,2
6306,2
126,2
194,3
12188,2
2034,1
1649,2
1715,2
345,3
7521,2
11414,2
3316,2
2105,2
15632,2
3135,2
10545,2
18881,2
11892,2
8613,1
16355,2
7443,2
11688,2
12536,2
17575,2
7222,2
4411,2
11347,2
2949,2
12995,3
3752,2
9613,2
12076,2
15228,3
2803,2
6769,2
17200,1
2976,2
4215,2
1974,2
2145,2
2811,2
8558,2
14368,2
5964,2
16052,2
11454,3
2250,2
13278,2
11868,2
14752,2
3604,1
9658,1
3901,2
5428,2
1792,2
1902,2
11949,2
4364,2
605,2
15530,2
17723,2
12554,3
15345,2
17067,2
6880,2
8164,2
15662,3
15154,2
13682,2
3904,2
8393,1
1114,2
144,2
9262,3
15725,2
11266,2
1441,2
17311,3
4887,2
15593,2
12772,3
17281,2
12718,2
18038,2
17706,3
17938,2
2746,2
7619,1
294,3
8383,2
12580,2
3038,2
14605,2
8439,2
13750,2
12235,2
10025,3
5768,2
12694,2
1831,2
6025,2
1375,2
3252,3
13313,2
5445,2
16916,2
8723,2
14870,2
2215,3
8929,1
1728,3
14284,2
3271,2
14072,2
2688,2
1891,2
8247,2
8964,2
8514,2
7541,1
17718,2
7007,1
14133,2
8671,3
12638,2
7546,2
14485,2
18449,2
5152,1
181,2
17494,1
8930,2
12449,2
14137,2
10647,3
1457,2
13993,3
704,2
6361,1
9960,2
13809,2
10848,2
8423,2
12785,2
9528,1
53,2
7652,2
10470,2
10660,3
8787,2
450,2
16631,3
1574,2
10964,2
6967,2
7325,1
4521,2
15597,3
14512,2
16815,2
7591,2
857,2
10801,2
8815,1
8750,1
2092,2
10994,2
1037,2
5641,2
7303,2
15404,3
4443,2
17028,2
13454,3
14777,2
16694,3
4263,2
17934,2
16129,3
7270,1
4347,2
11663,1
2557,2
14023,2
11255,2
17832,1
7865,3
2446,2
14087,2
3831,2
4594,3
4947,3
5590,2
13276,2
18650,3
11012,2
1098,2
7369,2
13958,3
5600,2
5688,2
19034,3
12531,2
12642,2
365,2
13963,3
18028,2
11107,2
14012,2
8893,2
15093,2
9432,2
4070,2
14193,2
7281,2
10258,2
247,2
9427,2
7069,2
7649,2
6071,2
14407,1
13336,3
2180,3
18689,3
14159,2
1530,3
12250,1
11634,2
7651,1
14764,2
13759,3
15634,2
7268,2
10916,2
6619,3
13149,2
7867,3
12325,2
16529,2
283,2
12173,2
17014,2
8803,2
1028,2
10786,2
10499,2
5504,2
12994,1
6388,3
2994,2
1811,2
3120,2
7926,2
9783,3
4482,2
16811,2
1533,3
15059,2
2764,2
3785,2
9309,1
11569,2
8097,2
10579,1
7850,2
2667,2
14499,2
13690,2
10412,2
2054,2
5412,2
16364,2
7646,2
1781,3
16133,2
18996,2
3567,2
13264,3
154,3
4691,2
8979,1
2826,3
8021,2
15668,3
1442,2
16127,2
14822,2
18569,3
3019,2
6232,1
1356,3
18550,2
17654,2
13356,2
17195,2
11182,3
14576,3
16409,2
12555,2
14257,3
11109,2
12466,2
13177,3
5847,2
12029,2
9996,3
5639,2
14951,3
985,2
3270,2
18476,3
17310,2
12246,2
17097,1
1594,2
17825,3
6342,2
18870,3
3062,2
14086,2
16796,1
16655,2
4933,2
9463,1
15833,3
6687,3
11934,2
18778,2
15163,3
17537,2
2232,1
16733,2
13578,2
8437,2
8801,2
2198,2
7888,3
4055,2
16109,3
5005,2
17165,2
7982,2
11846,2
1080,1
17145,1
12138,3
9589,2
13417,2
10781,1
11601,1
15144,2
6491,2
18477,2
12152,2
14108,2
6911,2
13785,3
19102,2
6963,1
18294,2
11857,2
5994,2
7266,2
11189,2
1569,2
10454,2
3221,2
18481,2
18875,1
11908,2
7346,2
4078,2
5211,2
17502,2
16641,2
7183,3
5673,2
14522,2
692,3
1477,2
5664,3
19044,1
8287,2
4746,2
7104,2
9546,2
12993,2
2221,3
1653,2
7008,2
13997,2
6793,2
8501,2
7344,2
8458,1
14125,2
14872,2
18475,2
872,2
17347,2
16309,2
14871,3
18156,1
17948,2
16880,2
3200,2
2050,3
2707,2
12114,2
6496,2
2671,2
11541,2
2606,2
13244,2
2453,2
6774,2
15272,2
2,3
15952,2
11277,1
7680,2
13167,1
7156,2
14351,2
12974,3
1215,2
3339,2
12404,2
6289,2
17329,3
3304,3
2242,3
10952,2
7300,2
16835,2
4752,3
6508,2
10307,2
15912,1
1758,2
12001,2
10763,1
17544,2
18021,2
3324,2
12870,2
6105,3
2689,2
2520,2
13642,3
10912,1
2603,1
6713,2
18801,1
4846,2
6093,2
9887,3
10010,3
15278,2
3527,2
